iter	Passed	Remaining
0	2	267
1	6	307
2	10	329
3	11	275
4	12	236
5	16	253
6	19	256
7	23	271
8	27	279
9	31	283
10	33	272
11	36	268
12	40	270
13	44	271
14	47	268
15	50	267
16	53	261
17	57	260
18	59	254
19	63	253
20	66	250
21	69	247
22	72	243
23	76	241
24	79	237
25	82	233
26	84	227
27	86	222
28	88	217
29	91	212
30	93	207
31	95	202
32	97	197
33	99	192
34	101	188
35	103	183
36	104	178
37	106	173
38	108	170
39	110	165
40	112	161
41	112	155
42	114	151
43	115	146
44	116	142
45	117	138
46	119	134
47	120	130
48	121	126
49	122	122
50	123	118
51	124	115
52	125	111
53	126	108
54	127	104
55	128	100
56	129	97
57	130	94
58	131	91
59	132	88
60	133	85
61	134	82
62	135	79
63	136	76
64	137	74
65	138	71
66	139	68
67	140	66
68	141	63
69	142	61
70	143	58
71	144	56
72	145	53
73	145	51
74	146	48
75	147	46
76	148	44
77	150	42
78	152	40
79	155	38
80	160	37
81	164	36
82	169	34
83	173	33
84	177	31
85	181	29
86	184	27
87	186	25
88	189	23
89	192	21
90	195	19
91	197	17
92	199	15
93	201	12
94	202	10
95	204	8
96	206	6
97	207	4
98	209	2
99	210	0
